Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal;Total;Homens;Mulheres
4.2.1 Caixas de banco, cobradores, pagadores e afins;173673;98073;75600
4.2.1.1 Caixas de banco e afins;44766;21062;23704
4.2.1.2 Coletores de apostas e de jogos;28285;13123;15163
4.2.1.3 Trabalhadores em escritórios de empréstimos e penhor;792;498;294
4.2.1.4 Cobradores e afins;99830;63389;36440
4.2.2 Trabalhadores de serviços de informação ao cliente;1448925;315064;1133861
4.2.2.1 Trabalhadores de agências de viagem;47569;19588;27981
4.2.2.2 Trabalhadores de centrais de atendimento;375602;87267;288335
4.2.2.3 Telefonistas;112310;13996;98315
4.2.2.4 Recepcionistas de hotéis;15831;8352;7479
4.2.2.5 Trabalhadores dos serviços de informações;23648;7960;15688
4.2.2.6 Recepcionistas em geral;827570;160429;667141
4.2.2.7 Entrevistadores de pesquisas de mercado;32745;14908;17838
4.2.2.9 Trabalhadores de serviços de informação ao cliente não classificados anteriormente;13649;2565;11084
4.3 Trabalhadores de cálculos numéricos e encarregados do registro de materiais;1027394;728388;299005
4.3.1 Auxiliares contábeis e financeiros;339096;147546;191549
4.3.1.1 Trabalhadores de contabilidade e cálculo de custos;199198;81435;117763
4.3.1.2 Trabalhadores de serviços estatísticos, financeiros e de seguros;135750;63627;72123
4.3.1.3 Trabalhadores encarregados de folha de pagamento;4148;2484;1664
4.3.2 Trabalhadores encarregados de registros de materiais e de transportes;688298;580842;107456
4.3.2.1 Trabalhadores de controle de abastecimento e estoques;619367;525973;93394
4.3.2.2 Trabalhadores de serviços de apoio à produção;46446;36321;10125
4.3.2.3 Trabalhadores de serviços de transporte;22484;18548;3936
4.4 Outros trabalhadores de apoio administrativo;181139;104094;77045
4.4.1 Outros trabalhadores de apoio administrativo;181139;104094;77045
4.4.1.1 Trabalhadores de bibliotecas;13016;2638;10378
4.4.1.2 Trabalhadores de serviços de correios;60049;51239;8810
4.4.1.3 Codificadores de dados, revisores de provas de impressão e afins;1219;664;555
4.4.1.4 Outros escreventes;606;297;309
4.4.1.5 Trabalhadores de arquivos;40994;21303;19690
4.4.1.6 Trabalhadores do serviço de pessoal;64480;27546;36934
4.4.1.9 Trabalhadores de apoio administrativo não classificados anteriormente;775;406;369
5 Trabalhadores dos serviços, vendedores dos comércios e mercados;14379354;6555121;7824233
5.1 Trabalhadores dos serviços pessoais;3814035;1487535;2326500
5.1.1 Trabalhadores do serviço direto aos passageiros;192759;145892;46868
5.1.1.1 Auxiliares de serviço de bordo;10969;3942;7027
5.1.1.2 Fiscais e cobradores de transportes públicos;169013;133683;35330
5.1.1.3 Guias de turismo;12777;8267;4510
5.1.2 Cozinheiros;1020760;210053;810708
5.1.2.0 Cozinheiros;1020760;210053;810708
5.1.3 Garçons e atendentes de bar;576305;362854;213450
5.1.3.1 Garçons;452973;290910;162063
5.1.3.2 Atendentes de bar;123332;71944;51387
5.1.4 Cabeleireiros, especialistas em tratamento de beleza e afins;1228406;197373;1031033
5.1.4.1 Cabeleireiros;687244;175761;511483
5.1.4.2 Especialistas em tratamento de beleza e afins;541162;21612;519550
5.1.5 Supervisores de manutenção e limpeza de edifícios;718235;518316;199918
