Level;CIUO-88 Título SP;Código CIUO-88;Código CIUO-08; CIUO-08 parte;CIUO-08 Título SP;
4;Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes;2359;2356;p;Instructores en tecnología de la información;
4;Otros profesionales de la enseñanza, no clasificados bajo otros epígrafes;2359;2359;p;Profesionales de la enseñanza no clasificados bajo otros epígrafes;
4;Contadores;2411;2411;p;Contables;
4;Contadores;2411;2412;p;Asesores financieros y en inversiones;
4;Especialistas en políticas y servicios de personal y afines;2412;2263;p;Profesionales de la salud y la higiene laboral y ambiental;
4;Especialistas en políticas y servicios de personal y afines;2412;2423;;Especialistas en políticas y servicios de personal y afines;
4;Especialistas en políticas y servicios de personal y afines;2412;2424;;Especialistas en formación del personal;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;2412;p;Asesores financieros y en inversiones;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;2413;;Analistas financieros;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;2421;;Analistas de gestión y organización;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;2422;;Especialistas en políticas de administración;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;2431;;Profesionales de la publicidad y la comercialización;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;2432;;Profesionales de relaciones públicas;
4;Especialistas en organizacón y administración de empresas y afines, no clasificados bajo otros epígrafes;2419;3339;p;Agentes de servicios comerciales no clasificados bajo otros epígrafes;
4;Abogados;2421;2611;;Abogados;
4;Jueces;2422;2612;;Jueces;
4;Profesionales del derecho, no clasificados bajo otros epígrafes;2429;2619;;Profesionales en derecho no clasificados bajo otros epígrafes;
4;Archiveros y conservadores de museos;2431;2621;;Archivistas y curadores de museos;
4;Bibliotecarios, documentalistas y afines;2432;2622;;Bibliotecarios, documentalistas y afines;
4;Economistas;2441;2631;;Economistas;
4;Sociólogos, antropólogos y afines;2442;2632;;Sociólogos, antropólogos y afines;
4;Filósofos, historiadores y especialistas en ciencias políticas;2443;2633;;Filósofos, historiadores y especialistas en ciencias políticas;
4;Filólogos, traductores e intérpretes;2444;2643;;Traductores, intérpretes y lingüistas;
4;Psicólogos;2445;2634;;Psicólogos;
4;Profesionales del trabajo social;2446;2635;;Profesionales del trabajo social;
4;Autores, periodistas y otros escritores;2451;2641;;Autores y otros escritores;
4;Autores, periodistas y otros escritores;2451;2642;p;Periodistas;
4;Escultores, pintores y afines;2452;2651;;Artistas de artes plásticas;
4;Compositores, músicos y cantantes;2453;2652;p;Músicos, cantantes y compositores;
4;Coreógrafos y bailarines;2454;2653;p;Bailarines y coreógrafos;
4;Actores y directores de cine, radio, teatro, televisión y afines;2455;2654;p;Directores de cine, de teatro y afines;
4;Actores y directores de cine, radio, teatro, televisión y afines;2455;2655;;Actores;
4;Sacerdotes de distintas religiones;2460;2636;;Profesionales religiosos;
4;Técnicos en ciencias físicas y químicas;3111;3111;;Técnicos en ciencias físicas y químicas;
4;Técnicos en ingeniería civil;3112;3112;p;Técnicos en ingeniería civil;
4;Electrotécnicos;3113;3113;p;Electrotécnicos;
4;Técnicos en electrónica y telecomunicaciones;3114;3114;p;Técnicos en electrónica;
4;Técnicos en electrónica y telecomunicaciones;3114;3522;;Técnicos de ingeniería de las telecomunicaciones;
4;Técnicos en mecánica y construcción mecánica;3115;3115;p;Técnicos en ingeniería mecánica;
4;Técnicos en química industrial;3116;3116;;Técnicos en química industrial;
4;Técnicos en ingeniería de minas y metalurgia;3117;3117;p;Técnicos en ingeniería de minas y metalurgia;
4;Delineantes y dibujantes técnicos;3118;3118;;Delineantes y dibujantes técnicos;
4;Técnicos en ciencias físicas y químicas y en ingeniería no clasificados bajo otros epígrafes;3119;3119;;Técnicos en ciencias físicas y en ingeniería no clasificados bajo otros epígrafes;
4;Técnicos en programación informática;3121;3512;;Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones;
4;Técnicos en programación informática;3121;3513;p;Técnicos en redes y sistemas de computadores;
4;Técnicos en programación informática;3121;3514;p;Técnicos de la Web;
4;Técnicos en control de equipos informáticos;3122;3511;;Técnicos en operaciones de tecnología de la información y las comunicaciones;
4;Técnicos en control de equipos informáticos;3122;3514;p;Técnicos de la Web;
4;Técnicos en control de robots industriales;3123;3139;p;Técnicos en control de procesos no clasificados bajo otros epígrafes;
4;Fotógrafos y operadores de equipos de grabación de imagen y sonido;3131;3431;;Fotógrafos;
4;Fotógrafos y operadores de equipos de grabación de imagen y sonido;3131;3521;p;Técnicos de radiodifusión y grabación audio visual;
4;Operadores de equipos de radiodifusión, televisión y telecomunicaciones;3132;3521;p;Técnicos de radiodifusión y grabación audio visual;
4;Operadores de equipos de radiodifusión, televisión y telecomunicaciones;3132;3522;;Técnicos de ingeniería de las telecomunicaciones;
4;Operadores de aparatos de diagnóstico y tratamientos médicos;3133;3211;;Técnicos en aparatos de diagnóstico y tratamiento médico;
4;Oficiales maquinistas;3141;3151;;Oficiales maquinistas en navegación;
4;Capitanes, oficiales de cubierta y prácticos;3142;3152;;Capitanes, oficiales de cubierta y prácticos;
4;Pilotos de aviación y afines;3143;3153;p;Pilotos de aviación y afines;
4;Controladores de tráfico aéreo;3144;3154;;Controladores de tráfico aéreo;
4;Técnicos en seguridad aeronáutica;3145;3155;;Técnicos en seguridad aeronáutica;
4;Inspectores de edificios y de prevención e investigación de incendios;3151;3112;p;Técnicos en ingeniería civil;
4;Inspectores de edificios y de prevención e investigación de incendios;3151;3359;p;Agentes de la administración pública para la aplicacion de la ley y afines no clasificados bajo otros epígrafes;
4;Inspectores de seguridad y salud y control de calidad;3152;2263;p;Profesionales de la salud y la higiene laboral y ambiental;
4;Inspectores de seguridad y salud y control de calidad;3152;3113;p;Electrotécnicos;
4;Inspectores de seguridad y salud y control de calidad;3152;3114;p;Técnicos en electrónica;
4;Inspectores de seguridad y salud y control de calidad;3152;3115;p;Técnicos en ingeniería mecánica;
